,Date,Target,Target-3,Target-2,Target-1
0,2010-01-07,1133.0999755859375,1117.699951171875,1118.0999755859375,1135.9000244140625
1,2010-01-08,1138.199951171875,1118.0999755859375,1135.9000244140625,1133.0999755859375
2,2010-01-11,1150.699951171875,1135.9000244140625,1133.0999755859375,1138.199951171875
3,2010-01-12,1128.9000244140625,1133.0999755859375,1138.199951171875,1150.699951171875
4,2010-01-13,1136.4000244140625,1138.199951171875,1150.699951171875,1128.9000244140625
5,2010-01-14,1142.5999755859375,1150.699951171875,1128.9000244140625,1136.4000244140625
6,2010-01-15,1130.0999755859375,1128.9000244140625,1136.4000244140625,1142.5999755859375
7,2010-01-19,1139.699951171875,1136.4000244140625,1142.5999755859375,1130.0999755859375
8,2010-01-20,1112.300048828125,1142.5999755859375,1130.0999755859375,1139.699951171875
9,2010-01-21,1102.699951171875,1130.0999755859375,1139.699951171875,1112.300048828125
10,2010-01-22,1089.199951171875,1139.699951171875,1112.300048828125,1102.699951171875
11,2010-01-25,1095.199951171875,1112.300048828125,1102.699951171875,1089.199951171875
12,2010-01-26,1097.9000244140625,1102.699951171875,1089.199951171875,1095.199951171875
13,2010-01-27,1084.4000244140625,1089.199951171875,1095.199951171875,1097.9000244140625
14,2010-01-28,1083.5999755859375,1095.199951171875,1097.9000244140625,1084.4000244140625
15,2010-01-29,1083.0,1097.9000244140625,1084.4000244140625,1083.5999755859375
16,2010-02-01,1104.300048828125,1084.4000244140625,1083.5999755859375,1083.0
17,2010-02-02,1117.4000244140625,1083.5999755859375,1083.0,1104.300048828125
18,2010-02-03,1111.4000244140625,1083.0,1104.300048828125,1117.4000244140625
19,2010-02-04,1062.4000244140625,1104.300048828125,1117.4000244140625,1111.4000244140625
20,2010-02-05,1052.199951171875,1117.4000244140625,1111.4000244140625,1062.4000244140625
21,2010-02-08,1065.699951171875,1111.4000244140625,1062.4000244140625,1052.199951171875
22,2010-02-09,1076.699951171875,1062.4000244140625,1052.199951171875,1065.699951171875
23,2010-02-10,1075.800048828125,1052.199951171875,1065.699951171875,1076.699951171875
24,2010-02-11,1094.199951171875,1065.699951171875,1076.699951171875,1075.800048828125
25,2010-02-12,1089.5,1076.699951171875,1075.800048828125,1094.199951171875
26,2010-02-16,1119.300048828125,1075.800048828125,1094.199951171875,1089.5
27,2010-02-17,1119.5,1094.199951171875,1089.5,1119.300048828125
28,2010-02-18,1118.0,1089.5,1119.300048828125,1119.5
